Notes,FilenameRoot,Identifier,MediaType,Format,Title,Alternate Title,Creator,Creator Role,Contributor,Contributor Role,Provider/Publisher,Description/Summary,Date Attribute,Date or Date range,Extent,Geographic coverage,Subject,Subject URIs,Temporal Coverage,Language,Archival Collection,AccessionNumber,Series,Subseries,Box,Folder,Item,Rights Holder,Rights,CorpSubject,CorpSubject URI,PersonalSubject,PersonalSubject URI,Shipment Box,Returned in Box,Reshelved,Filename from vendor,Filename adjustment,Changed on Drive,InspectionNotes,RequestedActions,DateAndInitials,,,,
,mdu-062654,,Text,,"Amistad II - Correspondence, 1974-1976",,,,,,,Correspondence between David C. Driskell and various players in the Amistad II exhibition,1974-1976,1974-1976,92,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,7,,,,,,,,Driskell_Box5 ,5,yes,mdu-062673a,mdu-062654,yes,,,,,,,
,mdu-062655,,Text,,"Amistad II - Correspondence with Caroline Walton, 1974-1977",,,,,,,Correspondence between David C. Driskell and Caroline Walton regarding Amistad II exhibition being taken to Cincinnati,1974-1977,1974-19744,54,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,1,8,,,,,,,,Driskell_Box5 ,5,yes,mdu-062674a,mdu-062655,yes,,,,,,,
,mdu-062656,,Text,,"Amistad II - Museum Loan Request Responses, 1974",,,,,,,Requests for loans for the Amistad II exhibition and responses,1974,1974,50,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,1,,,,,,,,Driskell_Box5 ,5,yes,,,,75pp,,CSP08232017,,,,
,mdu-062657,,Text,,"Amistad II - National Itinerary and Tour Schedule, 1975-1977",,,,,,,Schedule for exhibition travel,1975-1977,1975-1977,4,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
There are photographs in this folder,mdu-062658,,Text,,"Amistad II - Photographs, [undated]",,,,,,,Photographs of Amistad II installation in an unknown location,[undated],[undated],6,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,3,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062659,,Text,,"Amistad II - Progress Report, 1974",,,,,,,Typed progress report from member of board and results from contacting museums for Amistad II exhibition,1974,1974,11,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,5,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062660,,Text,,"Contemporary Visual Expressions - Correspondence with Artists, 1985-1987",,,,,,,"Correspondence between David C. Driskell, Anacostia Museum officials, and various artists in the exhibition",1985-1987,1985-1987,32,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,14,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08232017,,,,
,mdu-062661,,Text,,"Contemporary Visual Expressions - Correspondence with Elisavietta Ritchie, 1986",,,,,,,Correspondence between David C. Driskell and Elisavietta Ritchie about the exhibition and her editing the catalogue,1986,1986,3,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,2,15,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Removed mailing list,mdu-062662,,Text,,"Contemporary Visual Expressions - Correspondence with Smithsonian Institution, 1986-1987",,,,,,,Correspondence between David C. Driskel and Smithsonian Institution employees regarding the exhibition,1986-1987,1986-1987,44,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,3,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062663,,Text,,"Contemporary Visual Expressions - Meeting Minutes and Notes, 1985-1986",,,,,,,Minutes from meetings regarding the exhibition,1985-1986,1985-1986,19,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,4,4,,,,,,,,Driskell_Box5 ,5,yes,mdu-062663b,mdu-062663,yes,,,,,,,
Removed alternate housing forms for restricted materials,mdu-062664,,Text,,"Introspectives - Correspondence, 1985-1989",,,,,,,Correspondence mainly between David C. Driskell and Aurelia Brooks from the California Afro-American Museum regarding the exhibition,1985-1989,1985-1989,97,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,7,1,,,,,,,,Driskell_Box5 ,5,yes,,,,96pp,,CSP08232017,,,,
Includes several photographs and 1 slide,mdu-062665,,Text,,"Introspectives - Correspondence with Artists, 1987-1988",,,,,,,Correspondence between David C. Driskell and artists represented in Introspectives exhibition,1987-1988,1987-1988,82,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,7,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062666,,Text,,"Introspectives - Exhibition Checklists, 1988, [undated]",,,,,,,Checklists for Introspectives exhibition,1988 and some undated material,1988,13,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,7,7,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062667,,Text,,"Introspectives - Exhibition Proposals, 1987",,,,,,,"Various drafts of the exhibition proposal for Introspectives, mainly from Henry Drewal",1987,1987,19,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,7,9,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
,mdu-062668,,Text,,"Introspectives - Trip to Brazil, 1987",,,,,,,Logistics and reflections on David C. Driskell's trip to Brazil for the Introspectives exhibition research,1987,1987,32,,,,,,David C. Driskell Papers,MS2011.01,Series 3: Exhibitions,Subseries 3: Curated by David C. Driskell,8,7,,,,,,,,Driskell_Box5 ,5,yes,,,,31pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062669,,Text,,"Barnett, Claude, 1947-1951",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,1947-1951,1947-1951,30,,,,,,Harmon Foundation Papers,MS2011.02,,,1,3,,,,,,,,Driskell_Box5 ,5,yes,mdu-062651b,mdu-062669,yes,29pp,,CSP08242017,,,,
Paper in folder is on the thinner side - fragile,mdu-062670,,Text,,"Barnett, Claude, 1952-1953",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,1952-1953,1952-1953,72,,,,,,Harmon Foundation Papers,MS2011.02,,,1,4,,,,,,,,Driskell_Box5 ,5,yes,mdu-062652b,mdu-062670,yes,73pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062671,,Text,,"Barnett, Claude, 1954-1955",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,1954-1955,1954-1955,42,,,,,,Harmon Foundation Papers,MS2011.02,,,1,5,,,,,,,,Driskell_Box5 ,5,yes,mdu-062671b,mdu-062671,yes,45pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062672,,Text,,"Barnett, Claude, 1956-1959",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,1956-1959,1956-1959,41,,,,,,Harmon Foundation Papers,MS2011.02,,,1,6,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062673,,Text,,"Barnett, Claude, 1963-1965",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,1963-1965,1963-1965,40,,,,,,Harmon Foundation Papers,MS2011.02,,,1,7,,,,,,,,Driskell_Box5 ,5,yes,mdu-062673b,mdu-062673,yes,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062674,,Text,,"Barnett, Claude, [undated]",,,,,,,Correspondence between artist Claude Barnett and Mary Beatty Brady/The Harmon Foundation,[undated],[undated],19,,,,,,Harmon Foundation Papers,MS2011.02,,,1,8,,,,,,,,Driskell_Box5 ,5,yes,mdu-062674b,mdu-062674,yes,21pp,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062675,,Text,,"Bolling, Leslie G., 1931",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation and James Weldon Johnson.,1931,1931,3,,,,,,Harmon Foundation Papers,MS2011.02,,,1,10,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062676,,Text,,"Bolling, Leslie G., 1933-1934",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation.,1933-1934,1933-1934,20,,,,,,Harmon Foundation Papers,MS2011.02,,,1,11,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062677,,Text,,"Bolling, Leslie G., 1935",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation.,1935,1935,26,,,,,,Harmon Foundation Papers,MS2011.02,,,1,12,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062678,,Text,,"Bolling, Leslie G., 1936",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation.,1936,1936,13,,,,,,Harmon Foundation Papers,MS2011.02,,,1,13,,,,,,,,Driskell_Box5 ,5,yes,,,,,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062679,,Text,,"Bolling, Leslie G., 1937",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation.,1937,1937,30,,,,,,Harmon Foundation Papers,MS2011.02,,,1,14,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062680,,Text,,"Bolling, Leslie G., 1938",,,,,,,Correspondence between artist Leslie G. Bolling and Mary Beatty Brady/The Harmon Foundation.,1938,1938,21,,,,,,Harmon Foundation Papers,MS2011.02,,,1,15,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062681,,Text,,"Herring, James V., 1933-1934",,,,,,,Correspondence between artist and scholar James V. Herring and Mary Beatty Brady/The Harmon Foundation.,1933-1934,1933-1934,16,,,,,,Harmon Foundation Papers,MS2011.02,,,4,6,,,,,,,,Driskell_Box5 ,1,yes,,,,14pp,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062682,,Text,,"Herring, James V., 1948-1956",,,,,,,Correspondence between artist and scholar James V. Herring and Mary Beatty Brady/The Harmon Foundation.,1948-1956,1948-1956,70,,,,,,Harmon Foundation Papers,MS2011.02,,,4,7,,,,,,,,Driskell_Box5 ,5,yes,,,,72pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062683,,Text,,"Herring, James V., 1958-1960",,,,,,,Correspondence between artist and scholar James V. Herring and Mary Beatty Brady/The Harmon Foundation.,1958-1960,1958-1960,98,,,,,,Harmon Foundation Papers,MS2011.02,,,4,8,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062684,,Text,,"Locke, Alain, 1933, 1939-1941",,,,,,,"Correspondence between writer, philosopher, and scholar Alain Locke and Mary Beatty Brady/The Harmon Foundation.",1933-1941,"1933, 1939-1941",65,,,,,,Harmon Foundation Papers,MS2011.02,,,6,2,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062685,,Text,,"Locke, Alain, 1942-1943",,,,,,,"Correspondence between writer, philosopher, and scholar Alain Locke and Mary Beatty Brady/The Harmon Foundation.",1942-1943,1942-1943,47,,,,,,Harmon Foundation Papers,MS2011.02,,,6,3,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062686,,Text,,"Locke, Alain, 1944",,,,,,,"Correspondence between writer, philosopher, and scholar Alain Locke and Mary Beatty Brady/The Harmon Foundation.",1944,1944,109,,,,,,Harmon Foundation Papers,MS2011.02,,,6,4,,,,,,,,Driskell_Box5 ,5,yes,,,,113pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062687,,Text,,"Locke, Alain, 1945",,,,,,,"Correspondence between writer, philosopher, and scholar Alain Locke and Mary Beatty Brady/The Harmon Foundation.",1945,1945,27,,,,,,Harmon Foundation Papers,MS2011.02,,,6,5,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile; also took out duplicate catalogue,mdu-062688,,Text,,"Locke, Alain, 1946-1948",,,,,,,"Correspondence between writer, philosopher, and scholar Alain Locke and Mary Beatty Brady/The Harmon Foundation.",1946-1948,1946-1948,68,,,,,,Harmon Foundation Papers,MS2011.02,,,6,6,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062689,,Text,,"Sebree, Charles, 1937",,,,,,,Correspondence between artist Charles Sebree and Mary Beatty Brady/The Harmon Foundation.,1937,1937,2,,,,,,Harmon Foundation Papers,MS2011.02,,,7,10,,,,,,,,Driskell_Box5 ,5,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062690,,Text,,"Fisk University, 1951-1956",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1951-1956,1951-1956,55,,,,,,Harmon Foundation Papers,MS2011.02,,,3,8,,,,,,,,Driskell_Box6 ,6,yes,,,,58pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062691,,Text,,"Fisk University, 1957-1958",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1957-1958,1957-1958,70,,,,,,Harmon Foundation Papers,MS2011.02,,,3,9,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062692,,Text,,"Fisk University, 1959",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1959,1959,49,,,,,,Harmon Foundation Papers,MS2011.02,,,3,10,,,,,,,,Driskell_Box6 ,6,yes,mdu-062692b,mdu-062692,yes,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062693,,Text,,"Fisk University, 1960-1961",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1960-1961,1960-1961,64,,,,,,Harmon Foundation Papers,MS2011.02,,,3,11,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062694,,Text,,"Fisk University, 1962-1963",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1962-1963,1962-1963,89,,,,,,Harmon Foundation Papers,MS2011.02,,,3,12,,,,,,,,Driskell_Box6 ,6,yes,,,,,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062695,,Text,,"Fisk University, 1964-1967",,,,,,,Correspondence between Harmon Foundation and Fisk University ,1964-1967,1964-1967,47,,,,,,Harmon Foundation Papers,MS2011.02,,,3,13,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062696,,Text,,"Fisk University - Correspondence with David C. Driskell, 1966",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was at Fisk,1966,1966,64,,,,,,Harmon Foundation Papers,MS2011.02,,,3,14,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062697,,Text,,"Fisk University - Correspondence with David C. Driskell, 1967",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was at Fisk,1967,1967,168,,,,,,Harmon Foundation Papers,MS2011.02,,,4,1,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062698,,Text,,"Fisk University - Correspondence with David C. Driskell, 1971",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was at Fisk,1971,1971,4,,,,,,Harmon Foundation Papers,MS2011.02,,,4,2,,,,,,,,Driskell_Box6 ,6,yes,,,,,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062699,,Text,,"Howard University - Correspondence with David C. Driskell, 1962",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1962,1962,46,,,,,,Harmon Foundation Papers,MS2011.02,,,4,17,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062700,,Text,,"Howard University - Correspondence with David C. Driskell, 1963",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1963,1963,115,,,,,,Harmon Foundation Papers,MS2011.02,,,5,1,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062701,,Text,,"Howard University - Correspondence with David C. Driskell, 1964",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1964,1964,222,,,,,,Harmon Foundation Papers,MS2011.02,,,5,2,,,,,,,,Driskell_Box6 ,6,yes,,,,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062702,,Text,,"Howard University - Correspondence with David C. Driskell, 1965 January - May",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1965,1965-01 - 1965-05,76,,,,,,Harmon Foundation Papers,MS2011.02,,,5,3,,,,,,,,Driskell_Box6 ,6,yes,,,,82pp,,CSP08232017,,,,
Paper in folder is on the thinner side - fragile,mdu-062703,,Text,,"Howard University - Correspondence with David C. Driskell, 1965 June-December",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1965,1965-06 - 1965-12,88,,,,,,Harmon Foundation Papers,MS2011.02,,,5,4,,,,,,,,Driskell_Box6 ,6,yes,mdu-062703b,mdu-062703,yes,,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062704,,Text,,"Howard University - Correspondence with David C. Driskell, 1966 January - April",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1966,1966-01 - 1966-04,105,,,,,,Harmon Foundation Papers,MS2011.02,,,5,5,,,,,,,,Driskell_Box6 ,6,yes,mdu-062704b,mdu-062704,yes,102pp,,,,,,
Paper in folder is on the thinner side - fragile,mdu-062705,,Text,,"Howard University - Correspondence with David C. Driskell, 1966 May-August",,,,,,,Correspondence between David C. Driskell and the Harmon Foundation while Driskell was teaching at Howard University,1966,1966-05 - 1966-08,133,,,,,,Harmon Foundation Papers,MS2011.02,,,5,6,,,,,,,,Driskell_Box6 ,6,yes,,,,125pp. Scanner bleed through on non-onion skinned pages,,CSP08232017,,,,
